"Panama","Panama City","countryCapital"
"Papua New Guinea","Port Moresby","countryCapital"
"Paraguay","Asunción","countryCapital"
"Peru","Lima","countryCapital"
"Philippines","Manila","countryCapital"
"Pitcairn Islands","Adamstown","countryCapital"
"Poland","Warsaw","countryCapital"
"Portugal","Lisbon","countryCapital"
"Puerto Rico","San Juan","countryCapital"
"Qatar","Doha","countryCapital"
"Taiwan","Taipei","countryCapital"
"Republic of Congo","Brazzaville","countryCapital"
"Romania","Bucharest","countryCapital"
"Russia","Moscow","countryCapital"
"Rwanda","Kigali","countryCapital"
"Saint Helena","Jamestown","countryCapital"
"Saint Lucia","Castries","countryCapital"
"Saint Martin","Marigot","countryCapital"
"Samoa","Apia","countryCapital"
"San Marino","San Marino","countryCapital"
"Saudi Arabia","Riyadh","countryCapital"
"Scotland","Edinburgh","countryCapital"
"Senegal","Dakar","countryCapital"
"Serbia","Belgrade","countryCapital"
"Seychelles","Victoria","countryCapital"
"Sierra Leone","Freetown","countryCapital"
"Singapore","Singapore","countryCapital"
"Sint Maarten","Philipsburg","countryCapital"
"Slovakia","Bratislava","countryCapital"
"Slovenia","Ljubljana","countryCapital"
"Solomon Islands","Honiara","countryCapital"
"Somalia","Mogadishu","countryCapital"
"Somaliland","Hargeisa","countryCapital"
"South Africa","Pretoria","countryCapital"
"South Korea","Seoul","countryCapital"
"South Ossetia","Tskhinvali","countryCapital"
"South Sudan","Juba","countryCapital"
"Spain","Madrid","countryCapital"
"Sri Lanka","Colombo","countryCapital"
"Sudan","Khartoum","countryCapital"
"Suriname","Paramaribo","countryCapital"
"Swaziland","Mbabane","countryCapital"
"Sweden","Stockholm","countryCapital"
"Switzerland","Bern","countryCapital"
"Syria","Damascus","countryCapital"
"Tajikistan","Dushanbe","countryCapital"
"Tanzania","Dodoma","countryCapital"
"Thailand","Bangkok","countryCapital"
"Togo","Lomé","countryCapital"
"Tonga","Nuku alofa","countryCapital"
"Transnistria","Tiraspol","countryCapital"
"Trinidad and Tobago","Port of Spain","countryCapital"
"Tunisia","Tunis","countryCapital"
"Turkey","Ankara","countryCapital"
"Turkmenistan","Ashgabat","countryCapital"
"Tuvalu","Funafuti","countryCapital"
"Uganda","Kampala","countryCapital"
"Ukraine","Kiev","countryCapital"
"United Arab Emirates","Abu Dhabi","countryCapital"
"United Kingdom","London","countryCapital"
"United States","Washington DC","countryCapital"
"Uruguay","Montevideo","countryCapital"
"Uzbekistan","Tashkent","countryCapital"
"Vanuatu","Port Vila","countryCapital"
"Vatican City","Vatican City","countryCapital"
"Venezuela","Caracas","countryCapital"
"Vietnam","Hanoi","countryCapital"
"Wales","Cardiff","countryCapital"
"Western Sahara","El Aaiún","countryCapital"
"Yemen","Sanaa","countryCapital"
"Zambia","Lusaka","countryCapital"
"Zimbabwe","Harare","countryCapital"
